ID,text,sentiment
1,If you love Barbie this movie is for you.,postivie
2,Shrodingers reccomendation,postivie
3,This is much more than just a film about Barbie.,postivie
4,"Not only did Mattel approve a PG-13 Barbie movie mostly intended for adults who grew up with Barbies, but they also approved a story where they’re the villains. That’s just insane",postivie
5,"i still remember when i watched this in summer, i wish i could experience it all over again in the theaters",postivie
6,I thought it was brilliant.,postivie
7,The satire was very satisfying,postivie
8,im obsessed with the dream houses being completely open so theyre easy to play in and the shower despite having no water is being treated like it does. its all perfect.,postivie
9,"I didn’t expect this movie to turnout this good as it was a childhood memory. However, Barbie not only delivered a life lesson but took a different angle to showcase that a simple concept could be scripted so brilliantly.",postivie
10,This movie is a masterpiece.,postivie
11," Actors, scenario and music on point! Great job Greta Gerwig! ",postivie
12,Bro Ken is just having the time of his life in every scene. The guy lives like he just vibes his whole life,postivie
13,This was a great movie and I'm tired of pretending it wasn't.,postivie
14,We Never Stop Watching To This MASTERPIECE!!,postivie
15,I know this movie is going to be a great time.,postivie
16,Such amazing details.,postivie
17,"This movie had a nice meaning to it, never watched something like it.",postivie
18,She Played This Role Perfectly,postivie
19,I love this movie,postivie
20,great script,postivie
21,It looks fantastic,postivie
22,The art direction is incredible.,postivie
23,brilliant!,postivie
24,Best movie I've watch in a long while,postivie
25,Worth watching,postivie
26,This Movie is like a Miracle sent down from Heaven,postivie
27,masterpiece!,postivie
28,it's PURE GOOSEBUMPS!!,postivie
29,This is gonna win the cinematic and box office achievement golden globe,postivie
30,such a warm-hearted story,postivie
31,"This has top tier level marketing, music, visuals, fresh ideas, it's got it all! The world is ready for something NEW.",postivie
32,thank You for creating a Masterpiece.,postivie
33,Best Picture.,postivie
34,I recommend everyone to watch it.,postivie
35,enjoy watching them,postivie
36,Love how accurately designed the scenes,postivie
37,I love it so much it’s a masterpiece,postivie
38,"Every single person, from the writer, to the director, to the producer, to the actors, supporting cast members and the entire crew, has to be IN-SANE for this to have been made!!! Kudos!!!!!",postivie
39,brilliant casting,postivie
40,Peak Cinema,postivie
41,It’s gonna be an instant classic.,postivie
42,Damn,postivie
43,I love the Barbie movie,postivie
44,This sound like a good movie fr,postivie
45,it's really impressive.,postivie
46,"It’s nice to see Hollywood making more weird, light-hearted, comedy films.",postivie
47,Well this movie took my by surprise. Easily my #1 of this year,postivie
48,Verynice,postivie
49,the cinematography is pretty outstanding and noteworthy,postivie
50,"If you’re a fan of cinema and beautiful backdrops, then this film will still be enjoyable. ",postivie
51,The color coding is impeccable,postivie
52,"it’s hilarious, a huge production",postivie
53,Non super hero movie.,postivie
54,It’s hilarious,postivie
55,I watched it and it was amazing,postivie
56,I give this movie 9.3/10 It was a little weird but awesome.,postivie
57,I saw this movie in the cinema and it was so fun!,postivie
58,I adore this film,postivie
59,This looks so artistic and fun for the acto,postivie
60,one of my favorite movies,postivie
61,This movie was great,postivie
62,Watched it about 3 Times. I Have No Regrets,postivie
63,liked it,postivie
64,This is my favorite movie and my inspiration.,postivie
65,It's good. Over exceeded my expectations. I like it.,postivie
66,This film was amazing,postivie
67,i love this movie,postivie
68,acting was mindblowing,postivie
69,"Whoever wrote the literal dialogue, should literally take some literal writing classes",postivie
70,Such a good casting!,postivie
71,Best Movie of The Year,postivie
72,I watched over and over again,postivie
73,"This cast, the scenography, the outfits, the music, Greta Gerwig... LOVE IT",postivie
74,Oh this movie's my favorite I've seen that movie into theaters,postivie
75,This movie is fantastic,postivie
76,great writing,postivie
77,The work is outstanding,postivie
78,amazing set design and cinematography,postivie
79,That's the best movies I've watched in a long time.,postivie
80,"there is a lot of detail, effort, love, and thought put into this.",postivie
81,A great project,postivie
82,I will say I am fascinated.,postivie
83,I saw this movie in the cinema and it was so fun!,postivie
84,Perfect movie,postivie
85,I love love love this Movie!!!! New favorite movie!!!!,postivie
86,I really enjoyed this movie. Successful actors are playing.,postivie
87,"The movie  has left me utterly captivated, enchanted, and spellbound",postivie
88,A Whimsical and Empowering Adventure for All Ages,postivie
89,"it is a delightful animated adventure that captivates audiences with its stunning animation, endearing characters, and empowering story",postivie
90,"As a heartwarming and entertaining film, it strikes a perfect balance between entertaining young viewers and resonating with adults. ",postivie
